Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
v good team on field timely and good service,good team,Company's service,Positive,good,Company's service,Positive,,,,,,,,,,,,
Worst service...damaged AC,damaged,Company's service,Negative,,,,,,,,,,,,,,,
"Pls don't go with this service worst service fool the people, not giving proper response unable to reach the customer care and they send vendor all fraud people..... Pls don't use this service. Helpless.",worst,Company's service,Positive,unable to reach,Customer support,Negative,,,,,,,,,,,,
Very goodðŸ‘ experience with urban company,good experience,Company's service,Positive,,,,,,,,,,,,,,,
The most unprofessional service provider have zero management service,unprofessional,Company's service,Negative,,,,,,,,,,,,,,,
"If I should get an option then I will give negative stars. Pathetic service, engineer came to my place for AC service and said that your indoor unit is ok and he serviced outdoor unit and left, AC cooling was bit improved now today after 35 days I felt AC was not cooling so I opened the indoor unit and it's not clean, I contacted support team they said book another appointment for your service and pay for it, so basically you need to pay every month for AC service if you are booking from UC.",negative stars,Company's service,Negative,not clean,Service quality,Negative,pay every month ,Payment,negative,,,,,,,,,
"I had a bad experience with Urban Company, price quoted/listed for Refrigerator PC board repair was too high. Unfortunately I came to know that after I took the service from UC, LG service providing replacement of PC board for same cost where UC quoted for repair. Not happy/untrusted from service cost point of viewðŸ˜Ÿ",bad experience ,Company's service,Negative,too high,cost,Negative,,,,,,,,,,,,
Very worst company,worst,Company's service,Negative,,,,,,,,,,,,,,,
Worst service and they charge too much,worst,Company's service,Negative,charge too much,cost,Negative,,,,,,,,,,,,
awesome paint service,awesome,Company's service,Positive,,,,,,,,,,,,,,,
very good service nd very professional staff,good,Company's service,Positive,professionals,Service person's attitude,Positive,,,,,,,,,,,,
"Professional service, my first experience was good ! let's hope this continues.",professional,Company's service,Positive,,,,,,,,,,,,,,,
service was excellent and professional was trained .......,excellent,Company's service,Positive,trained,Service person's attitude,Positive,,,,,,,,,,,,
Excellent Service thank you,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Service is excellent ðŸ‘ðŸ‘ðŸ‘,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Awesome service,awesome,Company's service,Negative,,,,,,,,,,,,,,,
"We are regular user but last time, I took termite control services. 3 times, person come but not satisfactory services. Even UC is not able to send person in the warranty terms and condition. Pathetic condition now.",not satisfactory,Company's service,Negative,,,,,,,,,,,,,,,
Totally time waste company,time waste,Company's service,Negative,,,,,,,,,,,,,,,
Poor service. No customer care number to reach out for complaints.,poor,Company's service,Negative,complanits,Customer support,Negative,,,,,,,,,,,,
Very bad experience.merely changing names doesn't simplyfying business in this competitive e portal .surely customer experience is the only ladder for all these startup just VCcant help them to rise.,bad experience ,Company's service,Negative,,,,,,,,,,,,,,,
Convenient services. Like it so much that i keep on using it everytime i want something . Update: so far very much satisfied with the services peovided.. love itâ¤ï¸,convenient ,Company's service,Positive,,,,,,,,,,,,,,,
our first experience is good. pleasing approach and behaviour of service staff noticed.,experience,Company's service,Positive,pleasing approach,Service person's attitude,Positive,,,,,,,,,,,,
Awesome cleaning,cleaning,Company's service,Positive,,,,,,,,,,,,,,,
great work,great,Company's service,Positive,,,,,,,,,,,,,,,
Excellent service. Fully Satisfied.,excellent,Company's service,Positive,,,,,,,,,,,,,,,
good work,great,Company's service,Positive,,,,,,,,,,,,,,,
good service. fixed all defects,fixed,Company's service,Positive,,,,,,,,,,,,,,,
Very poor experience with Urban Company. They are total fraud. They will purposely not respond if you book revisit.,poor experience,Company's service,Negative,not respond,Customer support,Negative,,,,,,,,,,,,
the service was very good the person did great work .,good,Company's service,Positive,great work,Service person's attitude,Positive,,,,,,,,,,,,
They are essentially subcontracting work to so called professionals .....they don't check if the person visiting you is even qualified. It's a hit and trial with Urban Company....sometimes good professional people sometimes just money scammer's who just keep finding faults with ok equipment.,hit and trail,Company's service,Negative,,,,,,,,,,,,,,,
very nice experience.. will go for it again,nice experience,Company's service,Positive,,,,,,,,,,,,,,,
very good Service,good,Company's service,Positive,,,,,,,,,,,,,,,
Don't trust their painting services. They did grouting and gone away in 1 month,painting services ,Company's service,Negative,,,,,,,,,,,,,,,
I liked the service.,like,Company's service,Positive,,,,,,,,,,,,,,,
"Horrible with spa. They take money for booking and booking never happens . It is fourth time in 3 months they have said, can't send professional, as she has pending jobs. Then they refund money after 5 to 7 days. My money remains parked with them, I schedule my day according to the booking and these guys don't know if professional is available. Spa management and Ac repair management in bad.",Spa management,Company's service,Negative,refund,Payment,Negative,Ac repair ,Company's service,negative,,,,,,,,,
"Assigning different professional other than the preferred one without any notice, is not good practice.",different professional,Company's service,Negative,,,,,,,,,,,,,,,
service is good but its little high on cost..,good,Company's service,Positive,little high,cost,Negative,,,,,,,,,,,,
The most reliable set of professionals for all household and grooming needs. haven't had a bad experience yet and UC has become my go to,reliable,Company's service,Positive,,,,,,,,,,,,,,,
service is satisfactoryPersonal behaviour good,satisfactory,Company's service,Positive,good,Service person's attitude,Postive,,,,,,,,,,,,
Good service Thank youâ¤ï¸,good,Company's service,Positive,,,,,,,,,,,,,,,
Good service,good,Company's service,Positive,,,,,,,,,,,,,,,
Very nice approach to satisfy the customer,nice approach,Company's service,Positive,,,,,,,,,,,,,,,
I would like to clear that I'm very satisfied with almost all professionals who came for service . But This rating of 2 is exclusively for URBAN CO policy of claiming BACKGROUND VWEIFICATION + SAFETY CAHRGES from Customers for each services amounting to Rs 49/- Post Covid since last year onward. Why Customer will pay for Background verification charges for their professionals and for Safety KIT when we are already paying service charges . This need to be changed,professionals,Company's service,Positive,Urban Co policy,Company's service,Negative,,,,,,,,,,,,
Really disappointed by the service. Booked for kitchen cleaning with utensils removal and keeping plus microwave cleaning. Only one person has been sent. In the advertisement it's shown that the professional gets lots of liquids and work is done by professionals?? What kind of service is this since I could have called people locally and got the same thing done?? Really disappointed.,disappointed,Company's service,Negative,,,,,,,,,,,,,,,
exellent work and full satisfied,excellent work,Company's service,Positive,,,,,,,,,,,,,,,
"They keep deleting my bad review again & again. Horrible service. I had booked for several cleanings. The dude had problem with everything, such as for my dining table cleaning booking, he said cleaning the table is not included, he actually said that, & he had similar issue with other cleanings too. After I gave him a bad review on the app. He returned the next day, came into my home & forced me to give him a 5 star review orelse he wouldn't leave. & he told that the company him to do so.",horrible,Company's service,Negative,problem with everything,Service person's attitude,Negative,,,,,,,,,,,,
service is good but beautician is too late,service,Company's service,Positive,beautician,,Negative,,,,,,,,,,,,
Awesome service provider,awesome,Company's service,Positive,,,,,,,,,,,,,,,
"Feels like cheated, there is no customer care details, I paid in advance, than the package was changed without my knowledge or consent and than almost my 1/3rd payment was deducted.",customer care details,Company's service,Negative,package was changed,Company's service,Negative,deducted,Payment,negative,,,,,,,,,
Great Experience.,experience,Company's service,Positive,,,,,,,,,,,,,,,
Highly recommended for Ac service,AC service,Company's service,Positive,,,,,,,,,,,,,,,
Services provided by the company has gone worst and and leaving the services unattended,services unattended,Company's service,Negative,,,,,,,,,,,,,,,
I recommend the services of Urban Company. They make it a point to give their best.,recommend,Company's service,Positive,,,,,,,,,,,,,,,
very good service,good,Company's service,Positive,,,,,,,,,,,,,,,
Perfect service,perfect,Company's service,Positive,,,,,,,,,,,,,,,
Good service,good,Company's service,Positive,,,,,,,,,,,,,,,
great service,service,Company's service,Positive,,,,,,,,,,,,,,,
Horrible experience They only give false promises,false promises,Company's service,Negative,,,,,,,,,,,,,,,
"Excellent service, courteous and well mannered staff.",excellent,Company's service,Positive,well mannered,Service person's attitude,Postive,,,,,,,,,,,,
excellent service,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Very bad experience in painting,painting,Company's service,Negative,,,,,,,,,,,,,,,
Till time I have availed few services like installation and salon and I am very satisfied...,satisfied,Company's service,Positive,salon,,Postive,,,,,,,,,,,,
Worst painting experience,painting,Company's service,Positive,,,,,,,,,,,,,,,
So much poor services,poor ,Company's service,Negative,,,,,,,,,,,,,,,
very professional services.,professional ,Company's service,Positive,,,,,,,,,,,,,,,
Very good service.,good ,Company's service,Positive,,,,,,,,,,,,,,,
good service,good,Company's service,Positive,,,,,,,,,,,,,,,
Nice experience,experience,Company's service,Positive,,,,,,,,,,,,,,,
Good experience n service,good experience,Company's service,Positive,,,,,,,,,,,,,,,
"Biggest concern is privacy. Ratings and comments are visible to the contractors, and the contractors have access to all the client's contact details, and can harass them for giving low ratings. Conversely there is no way to raise a concern without rating the contractor and commenting. There is no option to keep the comment and rating private as well. So you can imagine, all UrbanCompany ratings (including on Google Play) are fixed/false.",privacy,Company's service,Negative,,,,,,,,,,,,,,,
The worst experience for my fridge repair. I will highly recommend not to use UC.,fridge repair,Company's service,Negative,,,,,,,,,,,,,,,
"weI am writing this review for any new customer wanting to try thier service. Initial few engagements were good but then thier decietful and unprofessional tactics were employed. We had taken a specific vaccinated weekly cleaner but just prior to appointment they call saying she is sick and they will provide a unvaccinated replacement. Multiple complaints fell on deaf ears, reflection of a failing customer service and apathy. I hope this review helps with you decision either way you choose",unprofessional,Company's service,Negative,complaints,Customer support,Negative,,,,,,,,,,,,
"You can't report images of poor job done by professional, you can't call them directly and raise your concern. They will not bare cost of their inappropriate work.",professional,Company's service,Negative,can't call,customer support,Negative,,,,,,,,,,,,
"Experienced staffs, perfect",staffs,Company's service,Positive,,,,,,,,,,,,,,,
"What promised is not given, so don't opt for any service.",don't opt,Company's service,Negative,,,,,,,,,,,,,,,
excellent service,excellent,Company's service,Positive,,,,,,,,,,,,,,,
services are good enough but they charge more than what they serve,good,Company's service,Positive,charge more,cost,Negative,,,,,,,,,,,,
very professional service...,professional ,Company's service,Positive,,,,,,,,,,,,,,,
Awesome service very helpful too,awesome ,Company's service,Positive,,,,,,,,,,,,,,,
good work,good work,company's service,Positive,,,,,,,,,,,,,,,
Amazing service,amazing,Company's service,Positive,,,,,,,,,,,,,,,
"They're not providing at home salon services even though, they were claiming",not providing,Company's service,Negative,,,,,,,,,,,,,,,
excellent services,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Horrible service and no support to customer. Professional robbed items from home and no action taken by UC,horrible,Company's service,Negative,no support,customer support,Negative,robbed items,service person attitute,negative,,,,,,,,,
Excellent service.,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Don't go to this servise we r bookng to paint my house they don't respond any of my request and there is no costomer service number when they called u then u can say all the problems...and they send less meterial and we request for the meterial allmost two days continuous request ....they r not responsible for the workers....and we r request to not send to the same painter....they don't listen ....they send same painter...we face a lot of problems ....please don't book any service,no customer service number,Company's service,Negative,less material,company's service,Negative,,,,,,,,,,,,
Urban company has completely lost it. They are assigning male professional for hair spa service which involves neck and back massage for a female customer. Despite rescheduling I'm getting same professional assigned. I have raised this issue. We should have a preference to select professional at least for personalised services which involves physical contact.,male professionals,Company's service,Negative,,,,,,,,,,,,,,,
I am shocked that urban clap does not have customer care number... I placed an order by mistake but there is no provision to cancel... I think this is how they force customers to use their service and if you put review they will say write to us as if we are jobless. And they are so busy .. a company without any contact number what does that mean,does not have customer care number,Company's service,Negative,,,,,,,,,,,,,,,
I am happy with the service provided by the company. Any issue faced is very well and instantly resolved,happy with the service,Company's service,Positive,,,,,,,,,,,,,,,
"No customer care services, I have booked a bulk hair cut services. Now I'm not able to use them. Now not able to contact to explain my issue.",no customer care,Company's service,Negative,,,,,,,,,,,,,,,
good multi purpose service,multi purpose,Company's service,Positive,,,,,,,,,,,,,,,
They have trained professionals for women. Affordable rates. Highly recommeded.,trained professionals,Company's service,Positive,affordable rates,cost,Postive,,,,,,,,,,,,
Good services and well trained professionals. Can be little cheaper in rates. Also should allow us to mix and match the services from prime and classic salon services,good services,Company's service,Positive,,,,,,,,,,,,,,,
very good service,very good service,Company's service,Positive,,,,,,,,,,,,,,,
great service,great service,Company's service,Positive,,,,,,,,,,,,,,,
Perfect service,perfect service,Company's service,Positive,,,,,,,,,,,,,,,
"Easy and convenient service. Very helpful for a city-hectic life. Above all, the service people are very polite, professional and experienced. They also maintain utmost cleanliness and sanitized all the equipment before using. Thank you Urban Clap.",convenient ,Company's service,Positive,"polite, professional and experienced",service person's attitude,Postive,,,,,,,,,,,,
Very poor service,poor service,Company's service,Negative,,,,,,,,,,,,,,,
nice service provided ..well on time and friendly customer service...thank you,nice service provided,Company's service,Positive,,,,,,,,,,,,,,,
Excellent job done,excellent job,Company's service,Positive,,,,,,,,,,,,,,,
Very very bad service,bad service,Company's service,Negative,,,,,,,,,,,,,,,
Salon experiences have been the best,best,Company's service,Positive,,,,,,,,,,,,,,,
Very nice and efficient job,efficient,Company's service,Positive,,,,,,,,,,,,,,,
very good service..,good service,Company's service,Positive,,,,,,,,,,,,,,,
Not Happy with today AC service...My AC not at all cooling,not happy,Company's service,Negative,,,,,,,,,,,,,,,
Service was excellent,service was excellent ,Company's service,Positive,,,,,,,,,,,,,,,
"Booked a painting job through UC, and they delivered it well. Happy with the overall experience.",delivered it well,Company's service,Positive,,,,,,,,,,,,,,,
better booking facilities,better booking facilities ,Company's service,Positive,,,,,,,,,,,,,,,
excellent work and in time always,in time,Company's service,Positive,excellent work,service quality,Postive,,,,,,,,,,,,
fantastic services,fantastic services,Company's service,Positive,,,,,,,,,,,,,,,
super service,super service,Company's service,Positive,,,,,,,,,,,,,,,
they clean the ac very professionally now my ac cool as new one.... thanks for urban company,professionally,Company's service,Positive,,,,,,,,,,,,,,,
nice service,nice service,Company's service,Positive,,,,,,,,,,,,,,,
nice haircut given,nice haircut,Company's service,Positive,,,,,,,,,,,,,,,
very good service,very good service,Company's service,Positive,,,,,,,,,,,,,,,
"wonderful experience, services are excellent, behavior and conduct of beauticians are excellent.",services are excellent,Company's service,Positive,excellent,service person's attitude,Postive,,,,,,,,,,,,
very nice experience,nice experience ,company's service,Positive,,,,,,,,,,,,,,,
Best services by UC,best services,Company's service,Positive,,,,,,,,,,,,,,,
Thrice the Booking was done for the men's facial in a single day. And each time the professional brought different product for the service and had to be cancelled. Worst experience ever. Not at all recommended.,worst experience ,Company's service,Negative,,,,,,,,,,,,,,,
Excellent service,excellent service,Company's service,Positive,,,,,,,,,,,,,,,
"Hopeless technician, after servicing Ac Started giving Problems",hopeless technician,Company's service,Negative,,,,,,,,,,,,,,,
"Very bad service, professional not assigned after Booking and money deducted from my account. Again book the professional, but same no one is assigned. Customer support service is worst as tried contacting but just got the message of they will call in 60 min",very bad service,Company's service,Negative,worst,,Negative,,,,,,,,,,,,
Don't download this app Fraud company,fraud company,company's service,Negative,,,,,,,,,,,,,,,
very helpful service,very helpful service,Company's service,Positive,,,,,,,,,,,,,,,
"They're good for basic services like plumber electrician, carpentar, etc. But if you're looking forward to Have Painting services then please stay away. They will take 35% for confirmation & then rest 100% of the amount is to be paid only then further work will be carried out. Once done they will shift dates on their own, their assigned professional won't respond either, they will give you different reasons for delay everytime. So do not take any such big services from them!",basic services ,Company's service,Positive,assigned professional won't respond ,company's service,Negative,,,,,,,,,,,,
Classic cleaning of the house done... Done a good job ..,good job,Company's service,Positive,,,,,,,,,,,,,,,
Good service,good service,Company's service,Positive,,,,,,,,,,,,,,,
best fast services..,fast services ,Company's service,Positive,,,,,,,,,,,,,,,
Horrible service. Assigning non professionals,non professionals,Company's service,Negative,,,,,,,,,,,,,,,
Very nice service,very nice service,Company's service,Positive,,,,,,,,,,,,,,,
Felt good and relaxed. Good service ,good service,Company's service,Positive,,,,,,,,,,,,,,,
Services provided by urban clap is really good. They hire professional people with good knowledge and in this pandemic time taking all precautionary measures. This was my first experience and now looking forward for more., professional people with good knowledge,Company's service,Positive,precautionary measures,service quality,Postive,,,,,,,,,,,,
great service,great service,Company's service,Positive,,,,,,,,,,,,,,,
"Initially good,but now few technician collecting money offline and fooling customers with wrong information.shameless company",fooling customer ,company's service,Negative,,,,,,,,,,,,,,,
Very bad experience.. I have booked two times for service.i had to cancel my appointment because uc told me no professional is available . First uc give uh appointment and u wait for them to come then at a time they cancel ur appointment.. So I m very disappointed with their service, no professional is available,Company's service,Negative,,,,,,,,,,,,,,,
Worth using Urban Company Services,worth using,Company's service,Positive,,,,,,,,,,,,,,,
"wonderful services by Urban Company. I tried salon at home and believe me, there are having very well behaved and expert people. thanks",wonderful services,company's service,Positive,well behaved,service person's attitude,Postive,,,,,,,,,,,,
"1. Poor service. 2. Support team is really good in making excuses. 3. When any transaction fails that time they don't refund it in bank account instead they just make transacion processed status in app. 4. After using their waxing service I got pimples on my body when I raised complaint about it, they called me after almost 1 week and after 1 week they were arranging dermatologist. 5. Massage therapy is also very average.",poor service,company's service,Negative,good in making excuses,Customer support,Negative,don't refund,Payment,negative,got pimples,service quality,Negative,average,Company's service,Negative,,,
"Thanks a lot UC for taking my washing machine's PCB and returning it after 8 days, unrepaired",unrepaired ,Company's service,Negative,,,,,,,,,,,,,,,
Good service,good service,Company's service,Positive,,,,,,,,,,,,,,,
Worst company ever. They charged us before and work hasn't started yet. They fooling us around since last 2weeks. Pathetic service,pathetic service,company's service,Negative,,,,,,,,,,,,,,,
excellent service and cheap,excellent service,Company's service,Positive,cheap,cost,Postive,,,,,,,,,,,,
FARUDS. They'll sell you extended warranty plans saying repaired is covered. Butlater they tell you only service is covered. AVOID THIS FRAUD COMPANY.,Fraud company ,Company's service,Negative,,,,,,,,,,,,,,,
"Punctual,efficient and pleasant service. Satisfied.","Punctual,efficient and pleasant service",Company's service,Positive,,,,,,,,,,,,,,,
"Good job satisfied with my AC service,Techinetion is also well behaved and have good  well behaved",good job,Company's service,Positive,well behaved,service person's attitude,Postive,,,,,,,,,,,,
Two days back booked service for washing machine. Still nobody came . Last service done on 12th June so part replaced that are under warranty. Service person called and enquired about the issue. When he came to know that parts are under warranty so he didn't turned up. Very disappointed.,nobody came,Company's service,Negative,,,,,,,,,,,,,,,
Professionals are fraud...and urban company never replies or resolves complaints either,Fraud,Company's service,Negative,never replies,customer support,Negative,,,,,,,,,,,,
Fake rating system,fake rating,Company's service,Negative,,,,,,,,,,,,,,,
"Booked service 1 day prior to requirement. Professional just gave her number and i called. She said she has some meetings and can not come on time scheduled I said i will reschedule with someone else. But i was not assigned any professional for my service and this caused issues in my schedule. Totally disapointed. All ads are waste if you can not deliver to something. Customer servicing of urban company is just giving me missed calls, how am i supposed to call back on that number.",not assigned any professional,company's service,Negative,,,,,,,,,,,,,,,
My recent experience with UC has been extremely bad. I booked and no professional was assigned and I rescheduled and again even in that slot the professional wasn't assigned. This is so disappointing. I don't think I would want to book from UC anymore cause my time and money. Both are being wasted.,disapppointing,Company's service,Negative,rescheduled,Service schedule,Negative,money,cost,negative,,,,,,,,,
good job,good job,Company's service,Positive,,,,,,,,,,,,,,,
Good services,good services,Company's service,Positive,,,,,,,,,,,,,,,
they are make drama very poor experience wasting time only,poor experience,Company's service,Negative,,,,,,,,,,,,,,,
Keep up the good job!!,good job,Company's service,Positive,,,,,,,,,,,,,,,
"Initiated using services of Urban Company, so far services are satisfactory. Hope it will continue to be good.",satisfactory,Company's service,Positive,,,,,,,,,,,,,,,
satisfied with service,satisfied with service,Company's service,Positive,,,,,,,,,,,,,,,
Very pathetic and disappointing services specially the customer service and they do not have their panel centralized. They make a lot of trouble while initiating refund. They do not share any booking number or any Ticket ID number so that you can trace the exact status.,pathetic and disappointing services ,company's service,Negative,trouble while initiating refund,Customer support,Negative,,,,,,,,,,,,
excellence service,excellent service,Company's service,Positive,,,,,,,,,,,,,,,
Pathetic service. Untrained ac technician are working in this company. Waste of time and money.,untrained ac technician,Company's service,Negative,money,Payment,Negative,,,,,,,,,,,,
good service,good service,Company's service,Positive,,,,,,,,,,,,,,,
very good service,very good service,Company's service,Positive,,,,,,,,,,,,,,,
good service,good service,Company's service,Positive,,,,,,,,,,,,,,,
"So far i have had a good services from UC. however, of late the salon at home services are prized higher than before it was moderate prizes.",good services,Company's service,Positive,prized higher,cost,Negative,,,,,,,,,,,,
Good and timely service,Good and timely service,Company's service,Positive,,,,,,,,,,,,,,,
Bogus company.,bogus company,Company's service,Negative,,,,,,,,,,,,,,,
good service,good service,Company's service,Positive,,,,,,,,,,,,,,,
excellent service,excellent service,Company's service,Positive,,,,,,,,,,,,,,,
can Depend on this App. Good Service,good service,company's service,Positive,,,,,,,,,,,,,,,
For cleaning service .. they took 500 rs in advance ..promised they will send professional but didn't assign me professional...bad service..I wish I have negative rating to give,didn't assign me professional,Company's service,Negative,,,,,,,,,,,,,,,
This is amazing.... My experience is great!!So professional... So relaxing... Thanks a lot..., so professional,Company's service,Positive,,,,,,,,,,,,,,,
Poor customer service...first time I booked it and it turned out to be a nightmare...they don't have any beautician to assign.just wasting customers time..,poor customer service,company's service,Negative,,,,,,,,,,,,,,,
first time I choose roll on wax.experince was very good.,experience was very good,Company's service,Positive,,,,,,,,,,,,,,,
good service,good service,Company's service,Positive,,,,,,,,,,,,,,,
very good experience with Urban Company,good experience,Company's service,Positive,,,,,,,,,,,,,,,
Good with safety and cooperation,safety and cooperation,Company's service,Positive,cooperation,Company's service,Postive,,,,,,,,,,,,
Loged it. Excellent service for all stuff,Excellent ,company's service,Positive,,,,,,,,,,,,,,,
Service not good and technican not reach at time and not lift calls all so overall service and urban company service bad so bad,not good,Company's service,Negative,,,,,,,,,,,,,,,
very professional and expert's in cleaning services,very professional,Company's service,Positive,,,,,,,,,,,,,,,
Happy with the service,happy,Company's service,Positive,,,,,,,,,,,,,,,
excellent service,excellent,Company's service,Positive,,,,,,,,,,,,,,,
The service is very very good and the beautician is very polite,good,Company's service,Positive,polite,Service person's attitude,Postive,,,,,,,,,,,,
good service,good,Company's service,Positive,,,,,,,,,,,,,,,
Good satisfactory service,Good satisfactory,Company's service,Positive,,,,,,,,,,,,,,,
Awful painting experience. Surveyor says he can do se work 20 percentage less without UC. And my main door painting done 20 percentage and left since I said that was not colur that had choosen,experience,Company's service,Negative,aweful,service quality,Negative,,,,,,,,,,,,
Great facility for every work,Great facility,Company's service,Positive,,,,,,,,,,,,,,,
"nice service, video call facility is very good, and also it is free of cost.",nice,Company's service,Positive,,,,,,,,,,,,,,,
Great experience,Great experience,Company's service,Positive,,,,,,,,,,,,,,,
Very bad system,bad system,Company's service,Negative,,,,,,,,,,,,,,,
Good Service,good,Company's service,Positive,,,,,,,,,,,,,,,
Terrible service and unprofessional,terrible,Company's service,Negative,,,,,,,,,,,,,,,
"Nice service, but have less employees to attend the service...",nice,Company's service,Positive,less employees,Company's service,Negative,,,,,,,,,,,,
This was my first experience with Urban Company and it was a good one.,experience,Company's service,Positive,,,,,,,,,,,,,,,
Service is very good. However App is not convenient for multiple services booking at same time,service,Company's service,Positive,app,App functionality,Negative,,,,,,,,,,,,
I purchased two hair cut service and the complimentary services written on the package was changed at last minute after the professional visited us. On checking with support its told that the complimentary service package isn't available.,isn't available,Company's service,Negative,,,,,,,,,,,,,,,
Service is very bad,very bad,Company's service,Negative,,,,,,,,,,,,,,,
So far Excellent service for various services.Thank you Urban,excellent,Company's service,Positive,,,,,,,,,,,,,,,
"Very worst ever experience. Kindly please don't book this service anymore guys. . I booked for bathroom cleaning, the job was left incomplete. The professional promissed me to complete the job in two days and force me to make the payment. That's it, after getting the payment he absconded and no reply from Urban clap as well. They will behave like professional but they're third rated criminals when it comes to money..",incomplete,Company's service,Negative,absconded ,Service person's attitude,Negative,,,,,,,,,,,,
"Terribly a wrong decision to hire person from UC (your so called experts you claim always) for Chimney Cleaning Service. The person damaged (literally broked) one of the main clamp while dismantling for cleaning where oils actually gets stored. He initially told us tht he will get it repaired & took the stuffs along with him..after repeated callings, he finally came & dumped the same items without any repairing. He had initially tried to make us fool but later had admitted his mistake. Now what?",damaged,Company's service,Negative,,,,,,,,,,,,,,,
They never give full and correct invoice for services,correct invoices,Company's service,Negative,,,,,,,,,,,,,,,
Pathetic service providers..don't go for UC for any service..,pathetic,Company's service,Negative,,,,,,,,,,,,,,,
excellent service..very well trained staff,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Excellent & prompt service highly trained professionals,prompt service,Company's service,Positive,,,,,,,,,,,,,,,
The worst service ever. The ladies were 2 hours late which is not acceptable and the cleaning was very bad and had to stop the service. First and last time to work with you,worst,Company's service,Negative,,,,,,,,,,,,,,,
"Really very nice experience Professional, Perfect, Punctual, Polite Person, Good Service.",good,Company's service,Positive,punctual ,Service person's attitude,Positive,,,,,,,,,,,,
super good service ðŸ‘Œ,super good,Company's service,Positive,,,,,,,,,,,,,,,
The service of Urban Company is fantastic. We get trained professionals at reasonable charges without any efforts.,fantastic,Company's service,Positive,reasonable charges,cost,Positive,,,,,,,,,,,,
"Not very good at service, and not even answering to requests when booking is delayed by uc",not very good,Company's service,Negative,,,,,,,,,,,,,,,
absolutely great no need to wait hours in parlour to get required service. My baby hair cut is always perfect..and he is very happy.. It would be better if there is an option to upload photos for a clear picture of the work done .. thank you UC,absolutely great ,Company's service,Positive,,,,,,,,,,,,,,,
Services are excellent,excellent,Company's service,Positive,,,,,,,,,,,,,,,
"Very gud work ,very very happy n satisfied",satisfied,Company's service,Positive,,,,,,,,,,,,,,,
excellent service...perfect work..nice approach,excellent,Company's service,Positive,,,,,,,,,,,,,,,
Hardworking People but the Videos shown in the application has created too much Hype which is giving expectations to customers which cannot be fulfilled. just dont believe the videos in the application rather than that the service is acceptable good and appreciated in terms of what hardwork the employees of UC do. I'd expect a little low cost in the services because the prices are very high in terms of service.,Hardworking People ,Company's service,Positive,very high,cost,Negative,,,,,,,,,,,,
worth for money.. very good service,good,Company's service,Positive,,,,,,,,,,,,,,,
"well designed packages with thought to details, well trained and pleasant staff. give full justce to the treatment. very easy to book and order the service. very happy since I found this company.",well designed packages ,Company's service,Positive,easy to book,App utility,Positive,,,,,,,,,,,,
"Customer service is absolutely pathetic. been waiting for my refund for 10 days now, and it has not even been initiated yet. No response to emails, constant procrastination by the customer support agents",pathetic,Company's service,Negative,,,,,,,,,,,,,,,
nice service,nice,Company's service,Positive,,,,,,,,,,,,,,,
good experience fixing geyser. polite and cooperative,good experience,Company's service,Positive,,,,,,,,,,,,,,,
"Booking payment made for salon services. No one turned up. A lady called up and said their is a delay, and will be assigning soon. But almost 3 hours, nothing happened. Sheer waste of time",delay,Company's service,Negative,,,,,,,,,,,,,,,
The services are patheic. Work was to start 2 days ago. No sign of supervisor. Do s not pick calls. Call centre not contactable. Very poor service. Stuck after money paid in advance.,pathetic,Company's service,Negative,contactable,Customer support,Negative,,,,,,,,,,,,
"Absolutely horrible proffesinals sent.. earlier as urban Clap the work had more selection process that brought only trained professionals, from past 2 services we see that the work delivered is worst with high cost. Mails were sent yet zero response from urban company regarding projects. We recently called a plumber who kept talking on phone half an hour inspite of coming one hour late, he broke the tap by giving is assistant and luckily I did take a video of it.pls call some known proffesinal",worst,Company's service,Negative,high,cost,Negative,,,,,,,,,,,,
convenient and on time,convenient ,Company's service,Positive,,,,,,,,,,,,,,,
good service nd well done Mr. kamal,good,Company's service,Positive,,,,,,,,,,,,,,,
"Reported right time, good service good job",good,Company's service,Positive,,,,,,,,,,,,,,,
Very bad experience for painting with urban clap.,bad experience,Company's service,Negative,,,,,,,,,,,,,,,
"I am posting this again cause you guys told me that your team will resolve my issue instead your team says that sir this is out of warranty we can't do anything. My first time with urban company, you destroyed my AC and now you are calling me to tell me you can't do anything and I have to book a new request where you will charge me more and than again destroy what is leftover. This is the support urban company provides. Please don't use it . Worst experience ever. Dont use it anyone ever.",worst experience,Company's service,Negative,,,,,,,,,,,,,,,
good service,good,Company's service,Positive,,,,,,,,,,,,,,,
Good Service by Syed,good ,Company's service,Positive,,,,,,,,,,,,,,,
Such. A bad service. For bathroom cleaning deep cleaning half of them will never bring machine to clean. They will just landup,bad,Company's service,Negative,,,,,,,,,,,,,,,
Excellent professional job. Mr. Sameer is perfect and skilled in his work.,Excellent professional ,Company's service,Positive,,,,,,,,,,,,,,,
